instance_sn,role,app_name,cpu_request,cpu_limit,gpu_request,gpu_limit,rdma_request,rdma_limit,memory_request,memory_limit,disk_request,disk_limit,max_instance_per_node,creation_time,scheduled_time,deletion_time,estimated_runtime
instance_7332,CN,app_35,192,192,0,0,51,51,960.0,960.0,340.0,400.0,-1,16286.000000000002,16286.000000000002,488960.00000000006,472674.00000000006
instance_7333,CN,app_47,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,17180.0,17180.0,40061.0,22881.0
instance_7334,CN,app_88,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,17180.0,17237.0,85040.0,67860.0
instance_7335,CN,app_82,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,17180.0,17237.0,1264852.0,1247672.0
instance_7336,CN,app_88,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,17180.0,17237.0,46592.0,29412.0
instance_7337,CN,app_34,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,17180.0,17237.0,117325.0,100145.0
instance_7338,CN,app_88,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,17635.0,17663.0,22059.0,4424.0
instance_7339,CN,app_64,48,48,0,0,1,1,240.0,240.0,255.0,300.0,2,17636.0,17663.0,22192.0,4556.0
instance_7340,CN,app_28,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,18087.0,18087.0,23268.0,5181.0
instance_7342,CN,app_22,64,64,0,0,1,1,320.0,320.0,512.0,640.0,-1,20947.0,20948.0,2240740.0,2219793.0
instance_7343,CN,app_88,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,21247.0,21259.0,25021.0,3774.0
instance_7345,CN,app_27,64,64,0,0,1,1,320.0,320.0,384.0,480.0,-1,21908.0,21908.0,1798339.0,1776431.0
instance_7346,CN,app_28,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,22207.0,22207.0,26818.0,4611.0
instance_7348,CN,app_27,64,64,0,0,1,1,320.0,320.0,408.0,480.0,-1,22837.0,23005.0,105952.0,83115.0
instance_7350,CN,app_27,64,64,0,0,1,1,320.0,320.0,384.0,480.0,-1,24293.0,24293.0,31782.000000000004,7489.000000000004
instance_7351,CN,app_82,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,24396.0,24439.0,34731.0,10335.0
instance_7352,CN,app_88,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,24396.0,24439.0,129387.0,104991.0
instance_7353,CN,app_35,192,192,0,0,51,51,960.0,960.0,340.0,400.0,-1,24518.0,24576.0,216255.0,191737.0
instance_7354,CN,app_18,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,25145.0,25145.0,215198.0,190053.0
instance_7355,CN,app_28,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,25145.0,25146.0,420826.0,395681.0
instance_7357,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,26731.0,26731.0,34878.0,8147.0
instance_7358,CN,app_44,192,192,0,0,51,51,960.0,960.0,340.0,400.0,-1,27302.0,27302.0,372619.0,345317.0
